Month,Total_Units_Sold,Avg_Inventory,Total_Units_Ordered,Avg_Demand,Stockout_Days,Monthly_Turnover,Sell_Through_vs_Orders
2022-01,283495,299.2722580645161,306611,110.17548387096774,57,947.2812543115343,0.9246080538532538
2022-02,271108,322.0225,274548,114.24392857142857,14,841.8914827380075,0.987470314844763
2022-03,303752,323.28387096774196,299003,113.92677419354838,17,939.5829092578178,1.0158827837847781
2022-04,260812,311.067,249374,101.692,6,838.44316497732,1.045866850593887
2022-05,205949,236.8351612903226,216713,77.13290322580646,17,869.5879398901372,0.9503306216055336
2022-06,292816,325.022,293812,115.24166666666666,13,900.9113229258328,0.9966100771922182
2022-07,220157,268.66129032258067,224977,83.7858064516129,23,819.4593264093173,0.9785755877267454
2022-08,316705,329.76,313872,119.4958064516129,11,960.4106016496846,1.0090259723709027
2022-09,277151,305.86466666666666,277360,108.088,19,906.1229694178471,0.9992464666858956
2022-10,280227,299.4383870967742,275995,106.40806451612903,16,935.8419363561247,1.0153336111161435
2022-11,276788,309.41133333333335,277679,108.13533333333334,10,894.5632243593749,0.9967912589716903
2022-12,296772,313.65645161290325,302972,112.71967741935484,11,946.1689644001295,0.9795360627384709
2023-01,288551,323.1325806451613,277198,109.63387096774194,11,892.9802108592199,1.0409562839558728
2023-02,173247,237.05357142857142,169856,71.52107142857143,10,730.834802259887,1.0199639694800302
2023-03,296491,304.19387096774193,304261,113.30096774193548,21,974.6777574997269,0.9744627145772873
2023-04,216166,276.501,205724,83.94133333333333,10,781.7910242639268,1.0507573253485252
2023-05,252560,270.2041935483871,264528,95.90935483870967,15,934.7005192011299,0.9547571523619428
2023-06,303010,328.587,305685,119.45033333333333,20,922.1606454302818,0.9912491617187628
2023-07,313395,332.31612903225806,314428,119.33741935483872,19,943.0628628006756,0.9967146691770453
2023-08,315862,339.5264516129032,315802,120.11096774193548,11,930.3015965310319,1.0001899924636324
2023-09,276006,304.679,272015,106.775,10,905.891118193246,1.0146719850008272
2023-10,225274,268.8074193548387,224833,84.70645161290322,20,838.0497850121744,1.0019614558361094
2023-11,274574,297.6736666666667,274514,106.94933333333333,14,922.3993612692198,1.0002185680876021
2023-12,280090,311.6029032258065,274756,105.28677419354838,14,898.8683901864345,1.0194135887842304
2024-01,249918,284.93466666666666,254373,98.053,17,877.1063308079981,0.9824863487870175
