Product ID,Category,Observation_Days,Total_Units_Sold,Avg_Inventory,Total_Units_Ordered,Avg_Daily_Units_Sold,Avg_Price,Total_Demand,Avg_Discount,Promotion_Days,Stockout_Days,Turnover_Ratio,Annualized_Turnover,Sell_Through_vs_Orders,Avg_Inventory_Value,Stockout_Rate,Movement_Class,Turnover_Rank,Action
P0005,Electronics,760,64867,505.91315789473686,65692,85.35131578947369,86.2274605263158,73183,9.368421052631579,250,2,128.2176574927047,61.62039394632946,0.9874413931681179,43623.60685211219,0.002631578947368421,Critical Slow Mover,1,Review replenishment; consider promotion/bundle or inventory reduction
P0017,Furniture,760,48824,370.62368421052633,49317,64.2421052631579,112.59767105263157,55077,8.901315789473685,250,3,131.73470039833282,63.31065700064614,0.9900034470872113,41731.36367905125,0.003947368421052632,Critical Slow Mover,2,Review replenishment; consider promotion/bundle or inventory reduction
P0005,Toys,760,61601,465.8013157894737,62022,81.05394736842105,20.87123684210526,69612,9.085526315789474,250,5,132.24737224194865,63.55704304127862,0.9932120860339879,9721.84958320637,0.006578947368421052,Critical Slow Mover,3,Review replenishment; consider promotion/bundle or inventory reduction
P0010,Furniture,760,49267,350.8013157894737,49529,64.825,118.7481052631579,55265,8.986842105263158,250,3,140.44132043554418,67.49498985405594,0.9947101697995114,41656.991573822714,0.003947368421052632,Critical Slow Mover,4,Review replenishment; consider promotion/bundle or inventory reduction
P0014,Electronics,760,61899,439.6434210526316,62320,81.44605263157895,115.10948684210527,70652,9.197368421052632,250,7,140.79364556802912,67.664314531214,0.9932445442875482,50607.12859087604,0.009210526315789473,Critical Slow Mover,5,Review replenishment; consider promotion/bundle or inventory reduction
P0003,Clothing,760,82721,570.4236842105263,83570,108.84342105263158,55.99678947368421,93735,8.967105263157896,250,5,145.01676962184158,69.6939146110232,0.9898408519803757,31941.894955540163,0.006578947368421052,Critical Slow Mover,6,Review replenishment; consider promotion/bundle or inventory reduction
P0011,Clothing,760,73231,495.53026315789475,73558,96.35657894736842,58.45469736842105,83895,8.671052631578947,250,4,147.78310316168483,71.02339267079657,0.9955545283993583,28966.071569788783,0.005263157894736842,Critical Slow Mover,7,Review replenishment; consider promotion/bundle or inventory reduction
P0015,Clothing,760,71402,477.26184210526316,72279,93.95,66.1757105263158,81652,9.31578947368421,250,8,149.6076025794072,71.90023268701115,0.9878664619045643,31583.14150841413,0.010526315789473684,Slow Mover,8,Review reorder level and demand pattern; avoid overstocking
P0020,Clothing,760,73031,478.8578947368421,73456,96.09342105263158,72.43021052631579,83340,9.019736842105264,250,9,152.5107987206401,73.29548583251817,0.9942142234807232,34683.77812797784,0.011842105263157895,Slow Mover,9,Review reorder level and demand pattern; avoid overstocking
P0015,Furniture,760,49667,301.03815789473686,49666,65.35131578947369,90.11668421052633,56014,8.894736842105264,250,1,164.98572920900918,79.29083893893501,1.0000201344984496,27128.560610318564,0.0013157894736842105,Slow Mover,10,Review reorder level and demand pattern; avoid overstocking
P0007,Toys,760,61349,366.75131578947367,61404,80.72236842105264,26.247644736842105,69818,9.118421052631579,250,4,167.27683680681375,80.39192716274832,0.9991042928799426,9626.358243611496,0.005263157894736842,Slow Mover,11,Review reorder level and demand pattern; avoid overstocking
P0003,Furniture,760,51036,304.83026315789476,51413,67.15263157894736,129.63601315789472,56805,9.355263157894736,250,3,167.42432155945284,80.46280717051336,0.9926672242428958,39516.98000566135,0.003947368421052632,Slow Mover,12,Review reorder level and demand pattern; avoid overstocking
P0016,Toys,760,61518,339.6842105263158,61839,80.94473684210526,32.53051315789474,72112,9.177631578947368,250,14,181.1035017043694,87.0369131546328,0.9948091010527337,11050.101680055403,0.018421052631578946,Slow Mover,13,Review reorder level and demand pattern; avoid overstocking
P0002,Electronics,760,62916,322.5671052631579,63528,82.78421052631579,38.743184210526316,72880,9.138157894736842,250,8,195.04778687421222,93.73842652079739,0.9903664525878353,12497.276779466758,0.010526315789473684,Slow Mover,14,Review reorder level and demand pattern; avoid overstocking
P0016,Furniture,760,47259,241.29473684210527,47467,62.18289473684211,109.32640789473685,54647,8.894736842105264,250,7,195.855908912446,94.12680359246173,0.9956180083005035,26379.886822853186,0.009210526315789473,Slow Mover,15,Review reorder level and demand pattern; avoid overstocking
P0003,Groceries,760,77131,381.8921052631579,77262,101.48815789473684,80.3381052631579,90005,9.06578947368421,250,5,201.97065856297246,97.06550400016539,0.9983044705029639,30680.488151800553,0.006578947368421052,Slow Mover,16,Review reorder level and demand pattern; avoid overstocking
